6/01/1999
Trade,True,
Portfolio Value,100000.0,
Liquidity,44.8773,
POSentered::,29,99955.1227
Posrebal::,0,0
OutOfQuint::,0,0
Below100MA::,0,0
Negrebal::,0,0
AMD,3.0174375,ADVANCED MICRO DEVC.,Semiconductors,
ACAD,3.4430176,AUTODESK,Software,
BC,3.694875,BRUNSWICK,Recreational Products,
GLW,5.4318125,CORNING,Telecom. Equipment,
DGN,2.68275,DATA GENERAL DEAD - MERGER 12/10/99,Computer Hardware,
INTC,4.600785,INTEL,Semiconductors,
IBM,3.9684375,INTERNATIONAL BUS.MCHS.,Computer Services,
KMB,4.4135545,KIMBERLY-CLARK,Personal Products,
IGL,5.3375,MALLINCKRODT DEAD - MERGER 545615,Pharmaceuticals,
NSM,2.54448,NATIONAL SEMICON. DEAD - DELIST.26/09/11,Semiconductors,
ORCL,3.3399891,ORACLE,Software,
PKN,5.86796,APPLIED BIOSYSTEMS DEAD - DELIST.08/12/08,Medical Equipment,
TXN,4.4085888,TEXAS INSTRUMENTS,Semiconductors,
AZA,3.96632,ALZA CORP. DEAD - MERGER 22/06/01,Pharmaceuticals,
NOVL,3.95703,NOVELL DEAD - DELIST.28/04/11,Software,
FRE,3.825,FREDDIE MAC,Mortgage Finance,
SUNW,3.08424,SUN MICROSYSTEMS DEAD - ACQD.BY 719618,Computer Hardware,
DRAM,2.19,MICRON TECHNOLOGY,Semiconductors,
AMAT,2.4466461,APPLIED MATS.,Semiconductors,
COMS,3.40344,3COM DEAD - DELIST.22/04/10,Telecom. Equipment,
EMCS,4.06159,EMC DEAD - DELIST.07/09/16,Computer Hardware,
SGAT,2.45232,SEAGATE TECH. DEAD - MERGER 322081,Computer Hardware,
SCH,1.3094116,CHARLES SCHWAB,Investment Services,
PROG,6.4294833,PROGRESSIVE OHIO,Prop. & Casualty Ins.,
KLAC,1.558625,KLA TENCOR,Semiconductors,
MEYR,2.25254,MEYER FRED DEAD - MERGER 912134,Food Retail,Wholesale,
CCE,2.0871664,COCA COLA EUROPEAN PTNS.,Soft Drinks,
SLTN,2.9645,SOLECTRON DEAD - MERGER,Electrical Equipment,
AMER,1.2156228,TIME WARNER,Broadcast & Entertain,

13/01/1999
Trade,True,
